X1,X2,X3,X4,X5,X6,X7
15.38,14.77,0.8857,5.662000000000001,3.4189999999999996,1.999,5.222
18.96,16.2,0.9077,6.051,3.897,4.334,5.75
12.26,13.6,0.8333,5.4079999999999995,2.833,4.756,5.36
18.55,16.22,0.8865,6.153,3.674,1.7380000000000002,5.894
16.17,15.38,0.8588,5.7620000000000005,3.387,4.2860000000000005,5.702999999999999
20.88,17.05,0.9031,6.45,4.032,5.016,6.321000000000001
18.98,16.57,0.8687,6.449,3.552,2.144,6.452999999999999
14.29,14.09,0.905,5.291,3.3369999999999997,2.699,4.825
18.81,16.29,0.8906,6.272,3.693,3.237,6.053
12.88,13.5,0.8879,5.138999999999999,3.1189999999999998,2.352,4.607
15.38,14.9,0.8706,5.8839999999999995,3.2680000000000002,4.462,5.795
11.84,13.21,0.8521,5.175,2.8360000000000003,3.5980000000000003,5.044
14.38,14.21,0.8951,5.386,3.312,2.4619999999999997,4.956
19.14,16.61,0.8722,6.2589999999999995,3.737,6.682,6.053
11.42,12.86,0.8683,5.008,2.85,2.7,4.607
18.59,16.05,0.9066,6.037000000000001,3.86,6.001,5.877000000000001
16.63,15.46,0.8747,6.053,3.465,2.04,5.877000000000001
14.46,14.35,0.8818,5.388,3.377,2.802,5.044
12.62,13.67,0.8481,5.41,2.911,3.306,5.231
19.15,16.45,0.889,6.245,3.815,3.0839999999999996,6.185
19.94,16.92,0.8752,6.675,3.763,3.252,6.55
14.88,14.57,0.8811,5.553999999999999,3.333,1.018,4.956
18.14,16.12,0.8772,6.059,3.563,3.6189999999999998,6.011
11.23,12.88,0.8511,5.14,2.795,4.325,5.003
13.34,13.95,0.862,5.388999999999999,3.074,5.995,5.307
18.94,16.49,0.875,6.445,3.639,5.064,6.362
16.44,15.25,0.888,5.8839999999999995,3.505,1.969,5.5329999999999995
16.19,15.16,0.8849,5.832999999999999,3.4210000000000003,0.903,5.307
13.84,13.94,0.8955,5.324,3.3789999999999996,2.259,4.805
11.4,13.08,0.8375,5.136,2.763,5.587999999999999,5.0889999999999995
10.59,12.41,0.8648,4.899,2.787,4.975,4.794
19.46,16.5,0.8985,6.1129999999999995,3.892,4.308,6.0089999999999995
14.37,14.39,0.8726,5.569,3.153,1.464,5.3
11.87,13.02,0.8795,5.132000000000001,2.9530000000000003,3.597,5.132000000000001
11.21,13.13,0.8167,5.279,2.687,6.169,5.275
17.36,15.76,0.8785,6.145,3.574,3.5260000000000002,5.971
18.3,15.89,0.9108,5.979,3.755,2.8369999999999997,5.962000000000001
16.87,15.65,0.8648,6.138999999999999,3.463,3.696,5.9670000000000005
20.1,16.99,0.8746,6.581,3.785,1.955,6.449
20.2,16.89,0.8894,6.285,3.864,5.172999999999999,6.187
15.5,14.86,0.882,5.877000000000001,3.3960000000000004,4.711,5.528
15.6,15.11,0.858,5.832000000000001,3.286,2.725,5.752000000000001
11.36,13.05,0.8382,5.175,2.755,4.048,5.263
11.49,13.22,0.8263,5.303999999999999,2.695,5.388,5.31
11.34,12.87,0.8596,5.053,2.8489999999999998,3.347,5.003
19.06,16.45,0.8854,6.416,3.719,2.248,6.162999999999999
18.43,15.97,0.9077,5.98,3.7710000000000004,2.984,5.905
19.57,16.74,0.8779,6.3839999999999995,3.772,1.472,6.273
13.32,13.94,0.8613,5.541,3.073,7.035,5.44
12.22,13.32,0.8652,5.224,2.967,5.468999999999999,5.221
12.36,13.19,0.8923,5.0760000000000005,3.042,3.22,4.605
15.78,14.91,0.8923,5.6739999999999995,3.4339999999999997,5.593,5.136
12.01,13.52,0.8249,5.405,2.7760000000000002,6.992000000000001,5.27
15.03,14.77,0.8658,5.702000000000001,3.2119999999999997,1.933,5.439
11.83,13.23,0.8496,5.263,2.84,5.195,5.307
19.13,16.31,0.9035,6.183,3.9019999999999997,2.109,5.9239999999999995
12.44,13.59,0.8462,5.319,2.897,4.9239999999999995,5.27
18.45,16.12,0.8921,6.107,3.7689999999999997,2.235,5.794
11.81,13.45,0.8198,5.412999999999999,2.716,4.898,5.352
19.18,16.63,0.8717,6.369,3.681,3.3569999999999998,6.229
18.65,16.41,0.8698,6.285,3.594,4.391,6.102
18.27,16.09,0.887,6.172999999999999,3.6510000000000002,2.443,6.197
14.7,14.21,0.9153,5.205,3.466,1.767,4.649
12.74,13.67,0.8564,5.395,2.9560000000000004,2.504,4.869
12.19,13.36,0.8579,5.24,2.909,4.857,5.1579999999999995
12.08,13.23,0.8664,5.099,2.9360000000000004,1.415,4.961
18.72,16.34,0.8809999999999999,6.218999999999999,3.6839999999999997,2.188,6.097
12.54,13.67,0.8425,5.4510000000000005,2.8789999999999996,3.082,5.4910000000000005
10.8,12.57,0.8590000000000001,4.981,2.821,4.773,5.063
15.26,14.84,0.871,5.763,3.312,2.221,5.22
12.79,13.53,0.8786,5.224,3.054,5.483,4.958
17.12,15.55,0.8892,5.85,3.5660000000000003,2.858,5.746
13.78,14.06,0.8759,5.479,3.156,3.136,4.872
11.02,13.0,0.8189,5.325,2.701,6.735,5.162999999999999
11.23,12.63,0.884,4.902,2.8789999999999996,2.269,4.703
12.11,13.47,0.8392,5.159,3.032,1.5019999999999998,4.519
10.91,12.8,0.8372,5.088,2.675,4.178999999999999,4.956
